0	06	0	08	cr
0	08	0	11	j
0	11	0	14	j
0	14	0	17	j
0	17	0	20	j
0	20	0	23	l
0	23	0	30	f
0	30	0	33	j
0	33	0	45	f
0	45	0	48	cl
0	48	0	52	f
0	52	0	54	j
0	54	0	55	cr
0	55	0	57	j
0	57	1	00	r
1	00	1	02	j
1	02	1	04	f
1	04	1	07	cl
1	07	1	09	cr
1	09	1	11	f
1	11	1	15	j
1	15	1	17	cl
1	17	1	21	j
1	21	1	23	cl
1	23	1	26	cr
1	26	1	28	r
1	26	1	31	cl
1	31	1	34	cr
1	34	1	36	j
1	36	1	38	f
1	38	1	41	j
1	41	1	43	f
1	43	1	45	r
1	45	1	47	j
1	47	1	51	r
1	51	1	55	cl
1	55	1	58	j
1	58	2	01	cr
2	01	2	05	j
2	05	2	09	j
2	09	2	12	j
2	12	2	28	f
2	28	2	31	r
2	31	2	36	lr
2	36	2	37	l
2	37	2	40	j
2	40	2	46	f
2	46	2	48	l
2	48	2	50	j
2	50	2	52	l
2	52	3	07	lr
3	07	3	11	cr
3	11	3	13	cl
3	13	3	17	cr
3	17	3	27	j
