0	00	0	22	f
0	22	0	24	r
0	24	0	28	f
0	28	0	43	lr
0	43	0	51	f
0	51	0	56	cr
0	56	1	12	f
1	32	1	40	f
1	40	1	44	cl
1	44	1	47	r
1	47	1	51	f
1	51	1	57	lr
1	57	2	19	f
2	19	2	22	l
2	50	2	58	f
2	59	3	04	cr
3	04	3	17	f
3	25	4	44	f
3	44	3	48	r
3	48	4	11	f
4	11	4	14	cr
4	14	4	17	ss
4	37	4	40	f
4	41	4	45	r
4	45	4	47	l
4	47	4	50	f
4	50	4	52	l
4	52	4	54	f
4	54	5	06	lr
5	06	5	27	f
5	27	5	32	r
5	32	5	41	f
5	41	5	53	ss
6	05	6	11	f
6	11	6	14	r
6	14	6	19	f
6	19	6	21	l
6	21	6	29	f
6	29	6	33	l
6	33	5	55	f
7	17	7	30	f
7	30	7	36	lr
7	36	7	47	f
7	47	7	53	lr
7	53	7	56	r
7	56	8	16	lr
8	16	8	22	f
8	22	8	25	lr
8	25	8	27	f
8	27	8	30	ss
8	34	8	40	f
8	40	9	12	lr
9	12	9	16	cr
9	16	9	25	f
9	25	9	28	l
9	28	9	48	lr
9	48	10	27	f
10	29	10	51	lr
10	51	10	56	f
11	03	11	09	r
11	09	11	18	lr
11	18	11	23	ss
11	35	12	04	lr
12	09	12	55	lr





















