0	10	0	21	f
0	21	0	30	ss
0	46	0	49	r
0	49	0	54	lr
0	54	0	56	r
0	56	0	59	l
0	59	1	04	ss
1	07	1	12	f
1	12	1	13	l
1	13	1	16	r
1	16	1	19	l
1	19	1	20	r
1	20	1	22	l
1	22	1	22	r
1	24	1	34	lr
1	34	1	35	r
1	35	2	04	f
2	04	2	08	r
2	08	2	11	f
2	11	2	13	l
2	13	2	18	f
2	18	2	22	ss
2	22	2	25	f
2	25	2	34	lr
2	34	2	38	f
2	38	2	42	lr
2	42	3	00	f
3	30	3	36	f
3	36	3	42	j
3	42	3	44	r
3	44	3	46	l
3	46	3	48	r
3	48	3	52	lr
3	52	3	55	j
3	55	3	58	f
3	58	4	07	j
4	07	4	18	ss
4	45	4	50	lr
4	50	4	53	j
4	53	4	55	lr
4	55	4	57	j
4	57	4	59	ss
